"Id_CatalogoDepartamento","Nombre","PIN_Matriz","Fecha"
"1","Default List","-1","2020-01-20 18:00:00"
"2","Departamentos CRT","2yudm","2020-01-20 18:00:00"
"3","Catalogo Departamentos de Prueba","5qz8t_XXX","2020-01-22 17:41:21"
"4","Lista Departamentos Daimler Derramadero","pxzpx","2020-01-22 17:43:46"
"5","Catalogo Happinss Centro Ejemplo","5qz8t_XXX","2020-01-22 19:13:01"
"6","Departamentos - IBM Guadalajara","543lf","2020-01-23 20:17:38"
"7","Departamentos - Sony Comercio","543lf","2020-01-23 20:17:38"
"8","Departamentos - TransCanada","543lf","2020-01-28 13:41:50"
"10","Lista Departamentos ACAD","mjn8n","2020-02-25 11:16:50"
"11","Catalogo Basico","5qz8t","2020-03-09 20:58:59"
"12","Catalogo Extenso","5qz8t","2020-03-09 21:07:29"
"13","Deptos","1r3of_XXX","2020-03-19 22:43:47"
"14","Catalogo Departamentos Baxter","543lf","2020-03-20 14:07:16"
"15","Catalogo Departamentos TL SPRAGUE ","543lf","2020-03-20 14:07:16"
"16","Catalogo Departamentos Puro Ritmo de Jardín","543lf","2020-03-20 14:07:16"
"17","Departamentos - Apodaca","g547y","2020-03-20 14:47:47"
"18","Catalogo Departamentos - Ebay","543lf","2020-03-25 15:50:32"
"19","Catalogo Departamentos - Topacd","543lf","2020-03-25 15:50:32"
"20","Catalogo Departamentos - DeRemateCom","543lf","2020-03-25 15:53:04"
"21","Catalogo Departamentos - Mercado Libre","543lf","2020-03-25 15:53:04"
"22","Departamentos - Intel","543lf","2020-03-27 00:51:35"
"23","Areas - Superior Industries","543lf","2020-04-16 17:07:49"
"24","Departamentos - DSV Solutions","543lf","2020-04-16 17:14:15"
"25","Departamentos - TRW OCCUPANT","543lf","2020-04-16 17:20:00"
"26"," Departamentos - PROCENAL SERVICIOS","543lf","2020-04-23 13:37:39"
"27","Departamentos - FORD MOTOR COMPANY MEXICO","kkn1g","2020-04-23 13:49:42"
"28","Departamentos - TMSM SERVICIOS DE MEXICO","543lf","2020-04-23 13:58:57"
"29","Departamentos - MTEX MEXICO SERVICES","543lf","2020-05-06 19:03:18"
"30","Departamentos - Technicolor Mexicali","543lf","2020-05-18 15:17:01"
"31","Administracion","iqrq2","2020-05-19 11:25:25"
"32","Catalogo Javer","jhg9a_XXX","2020-06-05 11:54:56"
"33","JAVER","jhg9a_XXX","2020-06-10 14:23:07"
"34","Departamentos - BORGWARNER","543lf","2020-06-10 16:51:54"
"35","Departamentos - Altec","543lf","2020-06-10 17:05:36"
"36","Departamentos - Demek","543lf","2020-06-10 17:13:51"
"37","Departamentos - Mineria Dolores","543lf","2020-06-10 17:20:19"
"38","Departamentos - Tecno Corrugados","543lf","2020-06-10 17:37:09"
"39","Departamentos - ASO Americas","543lf","2020-06-10 17:43:39"
"40","Departamentos - Rogers","543lf","2020-06-10 17:52:51"
"41","Corporativo","5qz8t","2020-06-24 11:05:19"
"42","Departamentos - Pic Quality","543lf","2020-06-24 16:49:56"
"43","Departamentos - LAREDO CHB","543lf","2020-06-24 16:59:19"
"44","Departamento - KCSM SERVICIOS SA DE CV","543lf","2020-06-24 17:06:26"
"45","Departamentos - ITW","543lf","2020-06-24 17:16:49"
"46","Departamentos - Lego","543lf","2020-06-24 17:25:49"
"47","Departamentos - INDUSTRIAS PLASTICAS NYC","543lf","2020-06-24 17:30:35"
"48","PRODUCCION ","l20go","2020-06-25 08:55:08"
"49","ADMINISTRACION","l20go","2020-06-25 08:55:24"
"50","Contabilidad","ig64q_XXX","2020-06-29 10:29:13"
"51","Cedis","ig64q_XXX","2020-06-29 10:30:07"
"52","Sucursales","ig64q","2020-06-29 10:51:56"
"53","Adquisiciones y Recursos Materiales","ig64q","2020-06-30 14:35:32"
"54","Auditoria","ig64q","2020-06-30 15:21:46"
"55","Call Center","ig64q","2020-06-30 15:22:25"
"56","Regional Comercial","ig64q","2020-06-30 15:22:34"
"57","Capital Humano","ig64q","2020-06-30 15:22:43"
"58","Canal Punto de Venta","ig64q","2020-06-30 15:23:02"
"59","Cedis Logistica","ig64q","2020-06-30 15:23:33"
"60","Direccion Comercial","ig64q","2020-06-30 15:23:44"
"61","Direccion Operativa","ig64q","2020-06-30 15:23:53"
"62","Direccion Capital Humano","ig64q","2020-06-30 15:24:01"
"63","Direccion de Compras","ig64q","2020-06-30 15:24:08"
"64","Direccion Finanzas ","ig64q","2020-06-30 15:24:24"
"65","Exodus","ig64q","2020-06-30 15:24:47"
"66","Expansion ","ig64q","2020-06-30 15:24:53"
"67","Garantias ","ig64q","2020-06-30 15:25:04"
"68","Juridico","ig64q","2020-06-30 15:25:22"
"69","Mantenimiento ","ig64q","2020-06-30 15:25:53"
"70","Medicion Control y Mejora","ig64q","2020-06-30 15:25:59"
"71","Mercadotecnia","ig64q","2020-06-30 15:26:05"
"72","REFA 24","ig64q","2020-06-30 15:26:28"
"73","Rfa24","ig64q_XXX","2020-06-30 15:26:41"
"74","Planeacion y Calidad ","ig64q","2020-06-30 15:27:33"
"75","Pricing Control","ig64q","2020-06-30 15:27:41"
"76","Ventas","ig64q","2020-06-30 15:27:47"
"77","Ventas Canal Corporativo","ig64q","2020-06-30 15:27:53"
"78","Ventas Canal de Ruteo ","ig64q","2020-06-30 15:28:00"
"79","V","ig64q_XXX","2020-06-30 15:28:11"
"80","Vigilancia","ig64q","2020-06-30 15:28:41"
"81","Cobranza","ig64q","2020-06-30 15:30:07"
"82","Credito","ig64q","2020-06-30 15:30:19"
"83","Compras","ig64q","2020-06-30 15:31:13"
"84","Contabilidad","ig64q","2020-06-30 15:32:13"
"85","Division Motos","ig64q","2020-06-30 15:34:43"
"86","Regional Operativo","ig64q","2020-06-30 15:40:24"
"87","Sistemas","ig64q","2020-06-30 15:43:02"
"88","VNDI 24","ig64q","2020-06-30 15:47:37"
"89","Cumulus","ig64q","2020-06-30 15:50:46"
"90","Hyundai Kefico Mexico S de RL de CV","jhg9a","2020-07-01 09:59:50"
"91","Departamento - Amazon","543lf","2020-07-03 14:47:20"
"92","Departamento - APM Terminals Lazaro Cardenas","543lf","2020-07-03 14:47:20"
"93","Departamento - CAF Mexico","543lf","2020-07-03 14:47:20"
"94","Departamento - CONSTRUCCION MANTENIMIENTO FERROVIAS","543lf","2020-07-03 14:47:20"
"95","Departamento - ELECTROLUX POLANCO","543lf","2020-07-03 14:47:20"
"96","Departamento - FEDERAL MOGUL DE MEXICO","543lf","2020-07-03 14:47:20"
"97","Departamento - FEDERAL MOGUL FILP43","543lf","2020-07-03 14:47:20"
"98","Departamento - HELLMANN CONTRACT LOGISTICS","543lf","2020-07-03 14:47:20"
"99","Departamento - KUEHNE NAGEL SA DE CV","543lf","2020-07-03 14:47:20"
"100","Departamento - MCCORD PAYEN DE MEXICO","543lf","2020-07-03 14:47:20"
"101","Departamento - Raimsa","543lf","2020-07-03 14:47:20"
"102","Departamento - RH ALTERNATIVO SA DE CV","543lf","2020-07-03 14:47:20"
"103","Departamento - SAMSUNG ELECTRONICS MEXICO","543lf","2020-07-03 14:47:20"
"104","Departamento - SERVICIOS ADMINISTRATIVOS INDUSTRIALES","543lf","2020-07-03 14:47:20"
"105","Departamento - SISTEMAS AVANZADOS PARA EL CONOCIMIENTO","543lf","2020-07-03 14:47:20"
"106","Departamento - SONY COMERCIO DE MEXICO","543lf","2020-07-03 14:47:20"
"107","Departamento - Technicolor Estado de Mexico","543lf","2020-07-03 14:47:20"
"108","Departamento - TOUCHBISTRO MEXICO","543lf","2020-07-03 14:47:20"
"109","Departamento - Vertiv","543lf","2020-07-03 14:47:20"
"110","Departamento - WILLIS AGENTE DE SEGUROS Y DE FIANZAS","543lf","2020-07-03 14:47:20"
"111","Empaque","xcaiv_XXX","2020-07-27 11:44:07"
"112","Operador de Maquinas","xcaiv_XXX","2020-07-27 11:45:12"
"113","Jefe de Produccion","xcaiv_XXX","2020-07-27 11:46:15"
"114","Auxiliar de Produccion","xcaiv_XXX","2020-07-27 11:46:33"
"115","Administrativo","xcaiv_XXX","2020-07-27 11:46:50"
"116","Empaque","xcaiv_XXX","2020-07-27 11:49:09"
"117","Operaciones","xcaiv","2020-07-27 11:49:18"
"118","MANTENIMIENTO ","52goa_XXX","2020-08-04 14:25:13"
