"Id_departamento","PIN","Departamento","Clave","Mostrar","Fecha","Id_CatalogoDepartamento"
"1","2yudm","Aseguramiento de Producto Terminado","AseguramientodeProductoTerminado","1","2020-01-08 14:22:43","2"
"2","5qz8t","Aseguramiento de Producto Terminado en Aduanas","AseguramientodeProductoTerminadoenAduanas","1","2020-01-08 14:22:43","3"
"3","2yudm","Asuntos Internacionales","AsuntosInternacionales","1","2020-01-08 14:22:43","2"
"4","5qz8t","Centro de Referencia Agave Tequila","CentrodeReferenciaAgaveTequila","1","2020-01-08 14:22:43","3"
"5","2yudm","Compras y Servicios","ComprasyServicios","1","2020-01-08 14:22:43","2"
"6","2yudm","Aseguramiento de Producto Terminado en Aduanas","AseguramientodeProductoTerminadoenAduanas","1","2020-01-08 14:22:43","2"
"7","2yudm","Centro de Referencia Agave Tequila","CentrodeReferenciaAgaveTequila","1","2020-01-08 14:22:43","2"
"8","2yudm","Compras y Servicios","ComprasyServicios","1","2020-01-09 17:09:02","2"
"9","2yudm","Comunicacion","Comunicacion","1","2020-01-09 17:09:02","2"
"10","2yudm","Contraloria","Contraloria","1","2020-01-09 17:09:02","2"
"11","2yudm","Direccion General","DireccionGeneral","1","2020-01-09 17:09:02","2"
"12","2yudm","Laboratorio","Laboratorio","1","2020-01-09 17:09:02","2"
"13","2yudm","Mantenimiento","Mantenimiento","1","2020-01-09 17:09:02","2"
"14","2yudm","Organismo de Certificacion","OrganismodeCertificacion","1","2020-01-09 17:09:02","2"
"15","2yudm","Organismo de Certificacion Agricola","OrganismodeCertificacionAgricola","1","2020-01-09 17:09:02","2"
"16","2yudm","Recursos Humanos","RecursosHumanos","1","2020-01-09 17:09:02","2"
"17","2yudm","Sistemas de Calidad","SistemasdeCalidad","1","2020-01-09 17:09:02","2"
"18","2yudm","Tecnologias de la Informacion","TecnologiasdelaInformacion","1","2020-01-09 17:10:09","2"
"19","2yudm","Unidad de Verificacion","UnidaddeVerificacion","1","2020-01-09 17:10:09","2"
"20","2yudm","Vigilancia","Vigilancia","1","2020-01-09 17:10:20","2"
"21","5qz8t","Aseguramiento de Producto Terminado","AseguramientodeProductoTerminado","1","2020-01-08 14:22:43","3"
"22","5qz8t","POWER","power","1","2020-01-08 14:22:43","3"
"24","pxzpx","DETROIT","detroit","1","2020-01-20 00:59:25","4"
"25","pxzpx","CIW","ciw","1","2020-01-20 00:59:25","4"
"26","pxzpx","FAC","fac","1","2020-01-20 01:16:16","4"
"27","pxzpx","FCB","fcb","1","2020-01-20 01:16:16","4"
"28","pxzpx","FCH","fch","1","2020-01-20 01:16:16","4"
"29","pxzpx","MRG","mrg","1","2020-01-20 01:16:16","4"
"30","pxzpx","MTLS","mtls","1","2020-01-20 01:16:16","4"
"31","pxzpx","OFFLINE","offline","1","2020-01-20 01:16:16","4"
"32","pxzpx","PAINT","paint","1","2020-01-20 01:16:16","4"
"33","pxzpx","PCH","pch","1","2020-01-20 01:16:16","4"
"34","pxzpx","CTS","cts","1","2020-01-20 01:16:16","4"
"35","pxzpx","QA","qa","1","2020-01-20 01:16:16","4"
"36","pxzpx","SPARK","spark","1","2020-01-20 01:17:31","4"
"37","pxzpx","TOS","tos","1","2020-01-20 01:17:31","4"
"38","pxzpx","HR","hr","1","2020-01-20 01:17:42","4"
"39","x","Direccion","direccion","1","2020-01-22 17:50:23","1"
"40","x","Ventas","ventas","1","2020-01-22 17:50:23","1"
"41","x","Marketing","marketing","1","2020-01-22 17:50:23","1"
"42","x","Administracion","administracion","1","2020-01-22 17:50:23","1"
"43","x","Contabilidad","contabilidad","1","2020-01-22 17:50:23","1"
"44","x","Finanzas","finanzas","1","2020-01-22 17:50:23","1"
"45","x","Legal","legal","1","2020-01-22 17:50:23","1"
"46","x","Servicio al Cliente","servicioalcliente","1","2020-01-22 17:50:23","1"
"47","x","Informatica, Sistemas y Tecnologia","informatica","1","2020-01-22 17:50:23","1"
"48","x","Innovacion","innovacion","1","2020-01-22 17:50:23","1"
