"Id_IndexCatalogoCDT","PIN_CDT","Id_CatalogoDepartamento","Fecha"
"1","sppp0","2","2020-01-21 19:14:13"
"2","xczd7_XXX","5","2020-01-22 19:11:17"
"3","6a37u","12","2020-01-22 19:56:26"
"4","eae52","4","2020-01-22 19:58:18"
"5","kivxz","6","2020-01-24 01:03:30"
"6","t0pb8","7","2020-01-24 01:03:30"
"7","a6oh3","8","2020-01-28 16:55:34"
"9","i9m3q","10","2020-02-25 11:23:32"
"10","m6bj4","10","2020-02-25 11:23:32"
"11","1snoz","10","2020-02-25 11:23:32"
"12","g2fel","10","2020-02-25 11:23:32"
"13","fr4up","10","2020-02-25 11:23:32"
"14","rr1mt","10","2020-02-25 11:23:32"
"15","8gdz4","10","2020-02-25 11:23:32"
"16","5n3vv","10","2020-02-25 11:23:32"
"17","j8l9o","10","2020-02-25 11:23:32"
"19","cbz62","12","2020-03-18 02:51:18"
"20","5xln8_XXX","3","2020-03-18 02:51:50"
"21","h4vlk_XXX","3","2020-03-18 03:05:40"
"22","cupej","11","2020-03-18 04:47:51"
"23","ngih4","14","2020-03-20 14:12:31"
"24","w7y76","15","2020-03-20 14:35:35"
"25","1hw37","16","2020-03-20 14:39:32"
"26","le0pu","17","2020-03-20 14:49:28"
"27","6ibxs","18","2020-03-25 18:29:38"
"28","39bnk","19","2020-03-25 18:48:59"
"29","sbx5d","20","2020-03-25 18:55:40"
"30","3iw56","21","2020-03-25 19:01:39"
"31","c9m6a","22","2020-03-27 00:55:19"
"32","wm85k","23","2020-04-16 17:09:13"
"33","x38w3","24","2020-04-16 17:17:08"
"34","nq9iv","25","2020-04-16 17:26:15"
"35","998za","26","2020-04-23 13:41:59"
"36","kkn1g","27","2020-04-23 13:50:59"
"37","e2x5b","28","2020-04-23 13:59:47"
"38","gtdgr","29","2020-05-06 19:05:10"
"39","f7t69","30","2020-05-18 15:18:56"
"40","pje6s","31","2020-05-19 11:25:49"
