"Id_question","Pregunta","Categoria","Seccion","Type"
"1","Mi trabajo me exige hacer mucho esfuerzo f&iacute;sico","1","2","0"
"2","Me preocupa sufrir un accidente en mi trabajo","1","2","0"
"3","Considero que las actividades que realizo son peligrosas","1","2","0"
"4","Por la cantidad de trabajo que tengo debo quedarme tiempo adicional a mi turno","1","2","0"
"5","Por la cantidad de trabajo que tengo debo trabajar sin parar","1","2","0"
"6","Considero que es necesario mantener un ritmo de trabajo acelerado","1","2","0"
"7","Mi trabajo exige que est&eacute; muy concentrado","1","2","0"
"8","Mi trabajo requiere que memorice mucha informaci&oacute;n","1","2","0"
"9","Mi trabajo exige que atienda varios asuntos al mismo tiempo","1","2","0"
"10","En mi trabajo soy responsable de cosas de mucho valor","2","2","0"
"11","Respondo ante mi jefe por los resultados de toda mi &aacute;rea de trabajo","2","2","0"
"12","En mi trabajo me dan &oacute;rdenes contradictorias","2","2","0"
"13","Considero que en mi trabajo me piden hacer cosas innecesarias","2","2","0"
"14","Trabajo horas extras m&aacute;s de tres veces a la semana","3","2","0"
"15","Mi trabajo me exige laborar en d&iacute;as de descanso, festivos o fines de semana","3","2","0"
"16","Considero que el tiempo en el trabajo es mucho y perjudica mis actividades familiares o personales","3","2","0"
"17","Pienso en las actividades familiares o personales cuando estoy en mi trabajo","3","2","0"
"18","Mi trabajo permite que desarrolle nuevas habilidades","4","1","0"
"19","En mi trabajo puedo aspirar a un mejor puesto","4","1","0"
"20","Durante mi jornada de trabajo puedo tomar pausas cuando las necesito","4","1","0"
"21","Puedo decidir la velocidad a la que realizo mis actividades en mi trabajo","4","1","0"
"22","Puedo cambiar el orden de las actividades que realizo en mi trabajo","4","1","0"
"23","Me informan con claridad cu&aacute;les son mis funciones","5","1","0"
"24","Me explican claramente los resultados que debo obtener en mi trabajo","5","1","0"
"25","Me informan con qui&eacute;n puedo resolver problemas o asuntos de trabajo","5","1","0"
"26","Me permiten asistir a capacitaciones relacionadas con mi trabajo","5","1","0"
"27","Recibo capacitaci&oacute;n &uacute;til para hacer mi trabajo","5","1","0"
"28","Mi jefe tiene en cuenta mis puntos de vista y opiniones","6","1","0"
"29","Mi jefe ayuda a solucionar los problemas que se presentan en el trabajo","6","1","0"
"30","Puedo confiar en mis compa&ntilde;eros de trabajo","6","1","0"
"31","Cuando tenemos que realizar trabajo de equipo los compa&ntilde;eros colaboran","6","1","0"
"32","Mis compa&ntilde;eros de trabajo me ayudan cuando tengo dificultades","6","1","0"
"33","En mi trabajo puedo expresarme libremente sin interrupciones","6","1","0"
"34","Recibo cr&iacute;ticas constantes a mi persona y/o trabajo","6","2","0"
"35","Recibo burlas, calumnias, difamaciones, humillaciones o ridiculizaciones","6","2","0"
"36","Se ignora mi presencia o se me excluye de las reuniones de trabajo y en la toma de decisiones","6","2","0"
"37","Se manipulan las situaciones de trabajo para hacerme parecer un mal trabajador","6","2","0"
"38","Se ignoran mis &eacute;xitos laborales y se atribuyen a otros trabajadores","6","2","0"
"39","Me bloquean o impiden las oportunidades que tengo para obtener ascenso o mejora en mi trabajo","6","2","0"
"40","He presenciado actos de violencia en mi centro de trabajo","6","2","0"
"41","Atiendo clientes o usuarios muy enojados","7","2","0"
"42","Mi trabajo me exige atender personas muy necesitadas de ayuda o enfermas","7","2","0"
"43","Para hacer mi trabajo debo demostrar sentimientos distintos a los m&iacute;os","7","2","0"
"44","Comunican tarde los asuntos de trabajo","8","2","0"
"45","Dificultan el logro de los resultados del trabajo","8","2","0"
"46","Ignoran las sugerencias para mejorar su trabajo","8","2","0"
"47","My work requires me to make a lot of physical effort","1","2","1"
"48","I am worried about having an accident at work","1","2","1"
"49","I consider that the activities I do are dangerous","1","2","1"
"50","Because of the amount of work I have, I have to stay extra time on my shift","1","2","1"
"51","For the amount of work that I have, I must work without stopping","1","2","1"
"52","I believe it is necessary to maintain an accelerated work pace","1","2","1"
"53","My work demands that I be very focused","1","2","1"
"54","My job requires me to memorize a lot of information","1","2","1"
"55","My work demands that I attend to several issues at the same time","1","2","1"
"56","In my work I am responsible for very valuable things","2","2","1"
"57","I answer to my boss for the results of my entire area of work","2","2","1"
"58","In my work they give me contradictory orders","2","2","1"
"59","I consider that in my work they ask me to do unnecessary things","2","2","1"
"60","I work overtime more than three times a week","3","2","1"
"61","My work requires me to work on days off, holidays or weekends","3","2","1"
"62","I believe that time at work is too much and harms my family or personal activities","3","2","1"
"63","I think of family or personal activities when I am at work","3","2","1"
"64","My work allows me to develop new skills","4","1","1"
"65","In my work I can aspire to a better position","4","1","1"
"66","During my work day I can take breaks when I need them","4","1","1"
"67","I can decide the speed at which I perform my activities in my work","4","1","1"
"68","I can change the order of activities that I do in my work","4","1","1"
"69","They inform me clearly what my functions are","5","1","1"
"70","They clearly explain the results that I must obtain in my work","5","1","1"
"71","They inform me with whom I can solve problems or work issues","5","1","1"
"72","They allow me to attend training related to my work","5","1","1"
"73","I get useful training to do my job","5","1","1"
"74","My boss takes into account my views and opinions","6","1","1"
"75","My boss helps solve problems that arise at work","6","1","1"
"76","I can trust my coworkers","6","1","1"
"77","When we have to do team work, everybody collaborates","6","1","1"
"78","My coworkers help me when I have difficulties","6","1","1"
"79","In my work I can express myself freely without interruptions","6","1","1"
"80","I receive constant criticism to my person and / or work","6","2","1"
"81","I receive ridicule, slander, defamation, humiliation or ridicule","6","2","1"
"82","My presence is ignored or I am excluded from work meetings and decision making","6","2","1"
"83","Work situations are manipulated to make me look like a bad worker","6","2","1"
"84","My job successes are ignored and attributed to other workers","6","2","1"
"85","My coworkers block me from the opportunities I have to get promotions or advance in my work","6","2","1"
"86","I have witnessed acts of violence in my workplace","6","2","1"
"87","I attend very angry clients or users","7","2","1"
"88","My work requires me to serve people who are in great need of help or who are ill","7","2","1"
"89","To do my job I have to show different feelings than mine","7","2","1"
"90","My colleagues communicate work matters very late","8","2","1"
"91","They make difficulty to achieve results at work","8","2","1"
"92","They ignore suggestions to improve their work","8","2","1"
"93","El espacio donde trabajo me permite realizar mis actividades de manera segura e higi&eacute;nica","1","1","2"
"94","Mi trabajo me exige hacer mucho esfuerzo f&iacute;sico","1","2","2"
"95","Me preocupa sufrir un accidente en mi trabajo","1","2","2"
"96","Considero que en mi trabajo se aplican las normas de seguridad y salud en el trabajo","1","1","2"
"97","Considero que las actividades que realizo son peligrosas","1","2","2"
"98","Por la cantidad de trabajo que tengo debo quedarme tiempo adicional a mi turno","2","2","2"
"99","Por la cantidad de trabajo que tengo debo trabajar sin parar","2","2","2"
"100","Considero que es necesario mantener un ritmo de trabajo acelerado","2","2","2"
"101","Mi trabajo exige que est&eacute; muy concentrado","3","2","2"
"102","Mi trabajo requiere que memorice mucha informaci&oacute;n","3","2","2"
"103","En mi trabajo tengo que tomar decisiones dif&iacute;ciles muy r&aacute;pido","3","2","2"
"104","Mi trabajo exige que atienda varios asuntos al mismo tiempo","3","2","2"
"105","En mi trabajo soy responsable de cosas de mucho valor","4","2","2"
"106","Respondo ante mi jefe por los resultados de toda mi &aacute;rea de trabajo","4","2","2"
"107","En el trabajo me dan &oacute;rdenes contradictorias","4","2","2"
"108","Considero que en mi trabajo me piden hacer cosas innecesarias","4","2","2"
"109","Trabajo horas extras m&aacute;s de tres veces a la semana","5","2","2"
"110","Mi trabajo me exige laborar en d&iacute;as de descanso, festivos o fines de semana","5","2","2"
