,Unnamed: 0,Genero,NivelEstudios,TipoContratacion,TipoPersonal,TipoJornada,Rotacion,ExperienciaActual,Categoria_Num,Verd_Fals
13272,13297,0,9,5,2,3,1,6,1,True
3240,3265,0,9,5,2,3,2,8,1,True
13519,13544,1,4,4,1,3,1,7,0,False
20891,20916,0,9,5,2,3,2,8,1,True
12207,12232,1,6,5,3,3,2,3,0,False
2308,2333,0,9,5,3,3,2,8,1,True
12516,12541,1,7,5,3,3,2,6,1,True
9047,9072,1,3,5,2,3,2,7,1,True
5473,5498,1,9,5,3,3,2,7,1,True
15704,15729,1,9,5,3,3,2,8,1,True
18422,18447,1,5,5,1,2,1,2,0,False
14267,14292,0,9,5,3,3,2,5,0,False
3595,3620,1,8,2,2,3,2,5,1,True
10680,10705,1,4,5,2,3,2,3,1,True
18380,18405,0,3,5,3,3,2,8,0,False
14313,14338,0,9,5,3,3,2,5,1,True
15001,15026,1,9,2,2,1,2,6,1,True
10546,10571,1,9,5,2,3,2,5,1,True
4343,4368,1,9,1,3,3,2,6,1,True
12466,12491,1,9,5,2,3,1,4,0,False
17538,17563,1,6,5,1,2,1,4,1,True
8218,8243,0,9,5,3,3,2,6,1,True
4532,4557,0,7,5,2,3,2,6,1,True
12415,12440,1,7,5,1,3,2,8,1,True
18594,18619,1,5,5,1,2,1,8,1,True
8452,8477,1,9,5,3,3,2,8,1,True
6820,6845,1,8,3,1,3,1,5,1,True
12369,12394,1,5,5,2,3,2,8,1,True
15741,15766,0,7,5,3,3,2,1,0,False
14812,14837,1,5,4,2,3,2,8,1,True
21061,21086,1,6,5,2,3,2,8,1,True
6753,6778,1,7,5,3,3,2,4,1,True
3507,3532,1,9,5,2,3,2,8,1,True
15717,15742,1,7,5,2,3,2,7,1,True
3640,3665,1,9,5,1,3,2,3,0,False
3701,3726,0,8,5,1,3,2,4,1,True
16946,16971,1,9,5,3,3,1,8,0,False
11893,11918,1,9,5,2,3,2,8,0,False
17029,17054,0,7,5,2,3,2,8,0,False
5304,5329,0,9,5,3,3,2,8,1,True
12607,12632,1,7,5,1,3,1,7,1,True
7435,7460,0,4,2,1,3,2,7,1,True
488,513,1,8,5,1,3,1,8,1,True
8599,8624,1,9,5,2,3,2,7,1,True
18249,18274,1,3,5,3,3,2,8,1,True
2947,2972,1,9,5,3,3,1,8,1,True
12071,12096,1,9,5,3,3,2,7,1,True
9992,10017,1,2,5,3,3,2,1,1,True
15309,15334,1,8,4,2,2,2,7,1,True
13619,13644,1,6,5,2,3,1,5,0,False
3112,3137,0,9,3,2,3,2,7,1,True
20253,20278,1,8,3,1,2,2,7,1,True
