,Unnamed: 0.1,Unnamed: 0,Genero,NivelEstudios,TipoContratacion,TipoPersonal,TipoJornada,Rotacion,ExperienciaActual,Categoria_Num,Verd_Fals
0,13272,13297,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,SI,5A9A,1,True
1,3240,3265,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,1,True
2,13519,13544,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,0,False
3,20891,20916,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,1,True
4,12207,12232,Masculino,Bachillerato,tiempoindeterminado,confianza,diurno,NO,15A19A,0,False
5,2308,2333,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,1,True
6,12516,12541,Masculino,Preparatoria,tiempoindeterminado,confianza,diurno,NO,5A9A,1,True
7,9047,9072,Masculino,Maestria,tiempoindeterminado,ninguno,diurno,NO,Menos6M,1,True
8,5473,5498,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,Menos6M,1,True
9,15704,15729,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,1,True
10,18422,18447,Masculino,TecnicoSuperior,tiempoindeterminado,sindicalizado,mixto,SI,20A24A,0,False
11,14267,14292,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,6M1A,0,False
12,3595,3620,Masculino,Secundaria,otro,ninguno,diurno,NO,6M1A,1,True
13,10680,10705,Masculino,SinFormacion,tiempoindeterminado,ninguno,diurno,NO,15A19A,1,True
14,18380,18405,Femenino,Maestria,tiempoindeterminado,confianza,diurno,NO,1A4A,0,False
15,14313,14338,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,6M1A,1,True
16,15001,15026,Masculino,Licenciatura,otro,ninguno,nocturno,NO,5A9A,1,True
17,10546,10571,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,6M1A,1,True
18,4343,4368,Masculino,Licenciatura,honorarios,confianza,diurno,NO,5A9A,1,True
19,12466,12491,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,SI,10A14A,0,False
20,17538,17563,Masculino,Bachillerato,tiempoindeterminado,sindicalizado,mixto,SI,10A14A,1,True
21,8218,8243,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,1,True
22,4532,4557,Femenino,Preparatoria,tiempoindeterminado,ninguno,diurno,NO,5A9A,1,True
23,12415,12440,Masculino,Preparatoria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,1,True
24,18594,18619,Masculino,TecnicoSuperior,tiempoindeterminado,sindicalizado,mixto,SI,1A4A,1,True
25,8452,8477,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,1,True
26,6820,6845,Masculino,Secundaria,tiempodeterminado,sindicalizado,diurno,SI,6M1A,1,True
27,12369,12394,Masculino,TecnicoSuperior,tiempoindeterminado,ninguno,diurno,NO,1A4A,1,True
28,15741,15766,Femenino,Preparatoria,tiempoindeterminado,confianza,diurno,NO,Mas25A,0,False
29,14812,14837,Masculino,TecnicoSuperior,porObraoProyecto,ninguno,diurno,NO,1A4A,1,True
30,21061,21086,Masculino,Bachillerato,tiempoindeterminado,ninguno,diurno,NO,1A4A,1,True
31,6753,6778,Masculino,Preparatoria,tiempoindeterminado,confianza,diurno,NO,10A14A,1,True
32,3507,3532,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,1,True
33,15717,15742,Masculino,Preparatoria,tiempoindeterminado,ninguno,diurno,NO,Menos6M,1,True
34,3640,3665,Masculino,Licenciatura,tiempoindeterminado,sindicalizado,diurno,NO,15A19A,0,False
35,3701,3726,Femenino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,10A14A,1,True
36,16946,16971,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,SI,1A4A,0,False
37,11893,11918,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,0,False
38,17029,17054,Femenino,Preparatoria,tiempoindeterminado,ninguno,diurno,NO,1A4A,0,False
39,5304,5329,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,1,True
