,Genero,EstadoCivil,NivelEstudios,TipoContratacion,TipoPersonal,TipoJornada,Rotacion,ExperienciaActual
25,1,4,3,5,1,3,1,8
26,1,5,9,5,1,3,2,8
27,1,5,4,4,1,3,1,7
28,1,5,9,5,2,3,1,6
29,0,4,9,2,3,3,2,3
30,0,5,9,5,3,3,2,8
31,0,4,9,2,3,3,2,8
32,1,3,4,4,3,3,1,5
33,1,5,5,4,3,3,1,7
34,1,4,9,5,3,3,2,3
35,0,2,9,5,3,3,2,4
36,0,4,5,5,3,3,2,8
37,0,5,9,5,3,3,2,6
38,0,4,9,5,3,2,2,6
39,0,5,3,5,3,3,2,3
40,1,5,9,5,3,2,2,8
41,1,5,3,5,1,3,2,4
42,1,4,3,5,3,3,2,6
43,0,3,3,5,3,3,2,6
44,0,5,9,3,3,3,2,5
45,1,5,4,5,3,1,2,5
46,1,5,4,4,1,3,1,7
47,1,5,7,1,2,3,1,8
48,1,5,9,5,3,3,1,5
49,1,5,9,1,3,3,2,5
50,1,4,4,4,1,3,1,7
51,1,5,9,4,1,3,1,7
52,1,4,9,5,3,3,2,6
53,1,4,9,5,3,3,2,6
54,0,4,3,5,3,3,2,6
55,0,5,6,5,3,3,2,7
56,1,5,9,1,2,3,2,6
57,0,4,9,1,3,3,2,6
58,1,4,3,5,3,3,2,4
59,0,4,3,5,3,3,2,8
60,1,5,9,5,3,3,2,3
61,1,5,5,5,2,3,2,7
62,0,5,9,5,2,3,2,5
63,0,4,9,5,3,3,2,8
64,1,4,3,5,3,3,2,8
65,0,5,9,5,3,3,2,5
66,1,4,3,5,3,3,2,4
67,0,5,9,5,2,3,2,4
68,1,4,3,5,3,3,2,3
69,0,3,9,5,3,3,2,8
70,0,5,9,5,3,3,2,8
71,1,4,9,5,3,2,2,3
72,0,4,9,5,3,3,2,8
73,1,5,9,5,3,3,2,6
74,0,5,3,5,3,3,2,8
75,0,5,9,3,3,3,2,8
76,0,4,9,5,3,3,2,8
77,1,4,9,5,3,3,1,3
78,1,5,7,5,2,3,2,4
79,1,4,9,5,2,3,2,4
80,0,5,9,5,3,3,2,4
81,0,5,3,5,3,3,2,8
82,0,5,3,5,1,3,2,6
83,0,5,9,5,2,3,2,5
84,1,5,3,1,3,3,2,6
85,1,4,8,5,2,3,2,4
86,0,5,7,2,3,3,2,8
87,0,4,9,5,3,3,2,4
88,1,5,9,5,2,3,2,5
89,1,4,6,4,2,3,2,8
90,1,5,6,3,3,3,1,7
91,0,3,9,5,2,3,2,5
92,1,3,9,5,2,3,2,5
93,0,5,9,4,1,3,1,4
94,1,4,7,3,3,3,2,8
95,0,5,9,5,3,3,1,6
96,1,4,8,5,2,3,2,6
97,0,5,9,5,3,3,2,7
98,1,5,9,5,3,3,1,4
99,1,4,9,5,3,3,2,8
100,1,4,9,5,3,3,2,6
101,1,5,4,4,1,3,1,7
102,1,5,4,4,1,3,1,7
103,1,4,4,4,1,3,1,7
104,1,5,3,1,3,3,2,8
105,1,5,9,1,3,3,2,6
106,0,4,9,3,1,3,2,8
107,0,4,9,3,1,3,2,8
108,1,4,5,3,3,3,2,6
109,0,5,9,3,2,3,2,5
110,1,5,9,5,2,3,2,6
111,0,5,9,5,2,3,2,5
112,1,3,6,3,2,3,2,8
113,0,5,9,5,2,3,2,8
114,0,4,6,2,2,3,2,8
115,1,5,4,4,1,3,1,7
116,0,4,9,3,2,3,2,8
117,1,2,5,5,3,3,2,3
118,0,5,9,5,3,3,2,7
119,1,5,5,2,3,2,2,1
120,0,4,3,5,2,3,2,6
121,0,4,9,5,3,3,2,8
122,0,4,5,1,2,3,2,8
123,1,4,3,5,3,3,2,6
124,1,4,9,5,3,3,2,2
125,1,4,8,3,3,3,2,6
126,1,5,6,2,2,3,2,5
127,0,5,7,3,2,3,2,7
128,0,4,7,3,3,3,2,8
129,1,5,9,5,2,3,2,8
130,1,4,9,5,3,3,2,3
131,1,4,8,2,2,1,2,7
132,0,5,5,3,3,3,2,5
133,0,5,9,5,2,3,2,8
134,0,3,9,5,3,3,2,8
135,0,5,9,5,3,3,2,8
136,1,5,9,5,2,3,2,5
137,0,2,9,5,3,3,2,4
138,1,4,8,5,1,3,1,6
139,1,4,3,5,3,3,2,4
140,0,5,9,5,3,2,2,7
141,0,5,9,3,2,3,2,5
142,1,4,9,5,3,3,2,6
143,1,4,9,5,3,2,1,7
144,1,5,1,5,3,3,2,6
145,0,5,8,5,3,3,2,7
146,1,5,3,5,2,3,2,6
147,0,4,9,5,3,3,2,8
148,1,5,7,5,1,3,2,8
149,1,4,6,3,2,3,2,7
150,0,5,3,4,1,3,2,6
151,0,5,9,5,3,3,2,6
152,1,2,6,5,2,3,2,8
153,1,4,3,5,3,3,2,6
154,1,4,9,5,3,3,2,4
155,0,4,5,5,3,3,2,4
156,0,4,5,5,3,3,2,4
157,0,5,9,3,3,3,2,7
158,1,4,9,5,3,3,2,6
159,1,4,9,5,2,3,2,4
160,1,2,3,5,3,3,2,6
161,0,3,9,5,3,3,1,8
162,1,3,6,5,2,3,2,6
163,1,4,3,5,3,3,2,5
164,0,3,9,5,3,3,2,8
165,0,5,9,1,3,3,2,8
166,1,4,3,5,3,3,2,8
167,1,4,9,3,3,1,2,8
168,0,3,9,5,3,3,2,8
169,1,4,9,4,1,3,1,7
170,1,5,9,5,2,3,2,8
171,1,4,3,5,3,2,1,7
172,0,3,9,5,2,3,2,8
173,0,3,9,5,2,3,2,8
174,1,5,9,4,2,2,2,7
175,0,4,3,5,3,3,2,8
176,0,5,9,5,3,3,2,8
177,1,4,9,4,3,3,1,1
178,0,2,9,5,2,3,2,6
179,1,5,4,4,1,2,1,7
180,0,4,9,5,3,3,2,4
181,0,5,7,2,2,3,2,7
182,1,4,9,5,3,3,2,6
183,1,5,7,5,3,3,2,5
184,1,5,5,5,3,3,2,8
185,0,2,8,5,3,3,2,5
186,1,5,4,4,1,3,1,7
187,1,4,9,4,1,3,1,7
188,1,4,3,5,3,3,1,6
189,1,4,3,5,3,3,1,6
190,1,4,4,4,1,3,1,7
191,1,5,9,5,3,3,2,6
192,1,5,4,4,1,3,1,7
193,0,5,9,2,3,3,2,8
194,0,4,9,5,3,3,2,8
195,0,5,7,4,1,3,1,7
196,1,4,9,5,3,3,2,7
197,1,4,9,4,3,3,2,8
198,0,4,6,5,3,3,2,6
199,1,5,3,3,3,3,2,8
200,1,5,9,5,3,3,2,8
201,0,5,9,5,3,3,2,7
202,1,5,9,5,3,3,2,4
203,1,5,9,3,2,3,2,7
204,0,5,9,5,2,3,2,8
205,1,5,9,5,3,3,2,8
206,1,4,9,1,3,3,2,2
207,1,5,9,5,2,3,2,4
208,1,5,9,5,3,3,2,4
209,1,5,9,5,3,3,2,4
210,0,5,2,5,1,3,2,5
211,0,4,9,5,3,3,2,8
212,0,5,9,5,3,3,2,6
213,0,5,9,5,3,3,2,6
214,1,3,9,5,3,3,2,8
215,0,5,9,5,3,3,2,6
216,0,4,9,5,3,3,2,6
217,1,5,9,5,3,3,2,8
218,0,5,9,5,3,3,2,8
219,0,5,9,5,2,3,2,7
220,1,3,9,5,3,3,2,6
221,1,5,9,5,2,3,2,8
222,1,4,9,5,3,3,2,3
223,0,4,9,5,3,3,2,3
224,0,4,9,5,3,3,2,8
225,0,4,2,5,3,3,2,7
226,1,5,6,5,3,3,1,6
227,1,4,9,5,3,3,2,6
228,0,4,6,5,3,3,1,7
229,0,5,9,5,1,3,2,5
230,0,5,9,3,3,3,2,8
231,1,4,6,2,3,3,1,1
232,0,5,7,5,2,3,2,5
233,1,5,5,4,2,3,2,8
234,0,5,6,2,3,3,1,8
235,1,5,6,5,3,3,1,8
236,1,3,6,2,3,3,2,8
237,0,4,9,3,3,3,2,8
238,0,5,6,2,3,3,2,7
239,1,5,6,2,3,3,2,7
240,1,3,5,5,3,3,2,8
241,1,4,3,5,3,3,2,8
242,1,5,9,5,3,3,2,6
243,1,4,3,4,1,3,1,7
244,0,5,9,5,3,3,2,8
245,1,4,3,4,1,3,1,8
246,1,4,9,5,3,3,2,2
247,1,4,6,5,3,3,2,6
248,1,3,9,3,2,3,2,7
249,1,4,5,5,2,3,2,1
250,1,4,6,5,3,3,2,7
251,1,5,9,5,2,3,2,7
252,1,4,6,5,3,3,2,6
