,Genero,NivelEstudios,TipoContratacion,TipoPersonal,TipoJornada,Rotacion,ExperienciaActual,Resultado,Categoria,Categoria_Num
25,Masculino,Maestria,tiempoindeterminado,sindicalizado,diurno,SI,1A4A,92.0,Muy Alto,1
26,Masculino,Licenciatura,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,54.0,Medio,1
27,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,53.0,Medio,1
28,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,SI,5A9A,92.0,Muy Alto,1
29,Femenino,Licenciatura,otro,confianza,diurno,NO,15A19A,40.0,Bajo,0
30,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,0.0,Nulo,0
31,Femenino,Licenciatura,otro,confianza,diurno,NO,1A4A,0.0,Nulo,0
32,Masculino,SinFormacion,porObraoProyecto,confianza,diurno,SI,6M1A,0.0,Nulo,0
33,Masculino,TecnicoSuperior,porObraoProyecto,confianza,diurno,SI,Menos6M,0.0,Nulo,0
34,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,15A19A,0.0,Nulo,0
35,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,10A14A,0.0,Nulo,0
36,Femenino,TecnicoSuperior,tiempoindeterminado,confianza,diurno,NO,1A4A,0.0,Nulo,0
37,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,0.0,Nulo,0
38,Femenino,Licenciatura,tiempoindeterminado,confianza,mixto,NO,5A9A,0.0,Nulo,0
39,Femenino,Maestria,tiempoindeterminado,confianza,diurno,NO,15A19A,0.0,Nulo,0
40,Masculino,Licenciatura,tiempoindeterminado,confianza,mixto,NO,1A4A,0.0,Nulo,0
41,Masculino,Maestria,tiempoindeterminado,sindicalizado,diurno,NO,10A14A,0.0,Nulo,0
42,Masculino,Maestria,tiempoindeterminado,confianza,diurno,NO,5A9A,103.0,Muy Alto,1
43,Femenino,Maestria,tiempoindeterminado,confianza,diurno,NO,5A9A,0.0,Nulo,0
44,Femenino,Licenciatura,tiempodeterminado,confianza,diurno,NO,6M1A,0.0,Nulo,0
