,Unnamed: 0,Genero,EstadoCivil,NivelEstudios,TipoContratacion,TipoPersonal,TipoJornada,Rotacion,ExperienciaActual,Categoria_Num
2608,2608,Femenino,Soltero,Preparatoria,otro,confianza,diurno,NO,1A4A,1
20502,20502,Femenino,Soltero,Preparatoria,tiempodeterminado,confianza,mixto,SI,Menos6M,1
8284,8284,Masculino,Soltero,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,1A4A,1
1978,1978,Masculino,Soltero,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,1
3350,3350,Masculino,UnionLibre,Licenciatura,tiempoindeterminado,confianza,diurno,NO,10A14A,1
14732,14732,Femenino,Soltero,Licenciatura,tiempoindeterminado,ninguno,mixto,NO,1A4A,1
12578,12578,Masculino,Casado,Secundaria,tiempoindeterminado,sindicalizado,diurno,SI,6M1A,1
11647,11647,Masculino,UnionLibre,Licenciatura,tiempoindeterminado,confianza,nocturno,NO,1A4A,1
10455,10455,Masculino,Casado,Bachillerato,tiempoindeterminado,sindicalizado,mixto,SI,5A9A,1
1510,1510,Masculino,Soltero,SinFormacion,tiempoindeterminado,ninguno,diurno,NO,Menos6M,1
20796,20796,Masculino,Casado,Maestria,tiempoindeterminado,confianza,diurno,NO,Menos6M,1
3047,3047,Femenino,Casado,Maestria,tiempoindeterminado,confianza,diurno,NO,6M1A,1
9279,9279,Femenino,Soltero,Bachillerato,tiempoindeterminado,ninguno,diurno,NO,1A4A,1
12092,12092,Masculino,Casado,Preparatoria,tiempoindeterminado,confianza,diurno,SI,15A19A,1
6896,6896,Masculino,Soltero,Secundaria,tiempoindeterminado,ninguno,mixto,SI,6M1A,1
17934,17934,Masculino,Casado,Preparatoria,tiempoindeterminado,sindicalizado,mixto,SI,1A4A,0
2003,2003,Masculino,Casado,Bachillerato,tiempoindeterminado,confianza,diurno,NO,15A19A,1
19698,19698,Masculino,Soltero,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,1
4293,4293,Masculino,Casado,Bachillerato,tiempoindeterminado,sindicalizado,mixto,SI,1A4A,1
20495,20495,Masculino,Soltero,Secundaria,tiempodeterminado,confianza,mixto,NO,Menos6M,0
13707,13707,Masculino,Soltero,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,0
12561,12561,Masculino,Soltero,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,1
19842,19842,Masculino,Casado,Maestria,tiempoindeterminado,confianza,diurno,SI,5A9A,1
6892,6892,Masculino,Casado,Secundaria,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,1
2483,2483,Masculino,Soltero,Preparatoria,tiempoindeterminado,confianza,diurno,NO,10A14A,1
408,408,Femenino,Soltero,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,1
16234,16234,Masculino,Soltero,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,1
1097,1097,Masculino,Casado,Licenciatura,tiempoindeterminado,confianza,diurno,NO,20A24A,1
16945,16945,Femenino,Soltero,Doctorado,tiempoindeterminado,confianza,diurno,NO,1A4A,0
6463,6463,Masculino,Casado,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,1
19418,19418,Masculino,Casado,Preparatoria,tiempoindeterminado,sindicalizado,mixto,SI,10A14A,1
11043,11043,Femenino,Divorciado,Licenciatura,tiempoindeterminado,confianza,diurno,NO,Menos6M,1
3393,3393,Masculino,Soltero,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,1
9881,9881,Masculino,Soltero,Licenciatura,tiempoindeterminado,confianza,diurno,SI,1A4A,1
18169,18169,Masculino,Casado,TecnicoSuperior,tiempoindeterminado,sindicalizado,mixto,SI,1A4A,0
18745,18745,Femenino,Casado,TecnicoSuperior,tiempoindeterminado,confianza,diurno,NO,10A14A,0
6369,6369,Masculino,Soltero,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,1
44,44,Femenino,UnionLibre,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,1
19523,19523,Femenino,UnionLibre,Secundaria,tiempoindeterminado,confianza,diurno,NO,6M1A,0
5483,5483,Masculino,Soltero,Bachillerato,tiempoindeterminado,confianza,diurno,NO,1A4A,1
17553,17553,Masculino,Soltero,Maestria,tiempoindeterminado,confianza,mixto,NO,1A4A,1
16823,16823,Masculino,Casado,Bachillerato,tiempoindeterminado,ninguno,diurno,NO,1A4A,1
20559,20559,Femenino,Soltero,Preparatoria,tiempodeterminado,confianza,mixto,SI,Menos6M,0
20295,20295,Masculino,Casado,Secundaria,tiempoindeterminado,sindicalizado,mixto,SI,5A9A,1
2898,2898,Masculino,Divorciado,Preparatoria,tiempoindeterminado,confianza,diurno,NO,Menos6M,1
4702,4702,Masculino,Soltero,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,1
9098,9098,Masculino,Casado,Preparatoria,tiempoindeterminado,sindicalizado,diurno,SI,5A9A,0
13003,13003,Masculino,Casado,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,10A14A,0
15956,15956,Masculino,UnionLibre,Licenciatura,tiempoindeterminado,ninguno,diurno,SI,1A4A,1
16771,16771,Masculino,Soltero,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,0
8138,8138,Femenino,Soltero,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,1
13792,13792,Masculino,Soltero,Preparatoria,tiempodeterminado,ninguno,diurno,NO,Menos6M,1
2879,2879,Femenino,Soltero,Licenciatura,tiempoindeterminado,confianza,diurno,NO,6M1A,1
17536,17536,Femenino,Soltero,Bachillerato,tiempoindeterminado,sindicalizado,mixto,SI,1A4A,1
4393,4393,Femenino,Soltero,Primaria,tiempoindeterminado,ninguno,diurno,NO,Menos6M,1
1297,1297,Masculino,Casado,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,1
15399,15399,Masculino,Casado,Bachillerato,tiempoindeterminado,confianza,diurno,NO,1A4A,1
8116,8116,Masculino,Soltero,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,1
9416,9416,Masculino,Soltero,SinFormacion,tiempoindeterminado,ninguno,diurno,NO,Menos6M,1
18602,18602,Masculino,Casado,Preparatoria,tiempoindeterminado,confianza,mixto,SI,Menos6M,1
11517,11517,Masculino,Soltero,Licenciatura,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,1
14675,14675,Masculino,Soltero,Preparatoria,tiempoindeterminado,confianza,diurno,NO,1A4A,0
10191,10191,Masculino,UnionLibre,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,Menos6M,1
7517,7517,Masculino,UnionLibre,Secundaria,tiempoindeterminado,sindicalizado,diurno,SI,6M1A,1
3226,3226,Masculino,Soltero,Licenciatura,tiempoindeterminado,sindicalizado,diurno,NO,6M1A,1
12120,12120,Masculino,Soltero,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,1
6735,6735,Femenino,Casado,Licenciatura,tiempoindeterminado,confianza,diurno,NO,20A24A,1
11747,11747,Masculino,Casado,Preparatoria,tiempoindeterminado,confianza,diurno,NO,5A9A,0
18438,18438,Masculino,UnionLibre,Secundaria,tiempoindeterminado,sindicalizado,diurno,SI,5A9A,1
5952,5952,Masculino,Soltero,TecnicoSuperior,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,1
9889,9889,Femenino,UnionLibre,Bachillerato,tiempoindeterminado,ninguno,diurno,NO,1A4A,1
19030,19030,Masculino,Casado,Bachillerato,tiempoindeterminado,sindicalizado,mixto,SI,15A19A,0
11816,11816,Masculino,Soltero,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,Menos6M,1
6919,6919,Masculino,Casado,Licenciatura,tiempoindeterminado,sindicalizado,diurno,SI,Menos6M,1
12943,12943,Masculino,Soltero,Bachillerato,tiempoindeterminado,ninguno,diurno,NO,5A9A,1
20984,20984,Femenino,Soltero,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,5A9A,1
16215,16215,Femenino,Soltero,TecnicoSuperior,tiempoindeterminado,confianza,diurno,SI,1A4A,1
18971,18971,Masculino,Casado,Preparatoria,tiempodeterminado,sindicalizado,mixto,SI,1A4A,1
10735,10735,Masculino,UnionLibre,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,1
19485,19485,Masculino,Divorciado,Maestria,tiempoindeterminado,confianza,diurno,NO,15A19A,1
5485,5485,Femenino,Soltero,Preparatoria,tiempoindeterminado,sindicalizado,diurno,NO,5A9A,1
11289,11289,Masculino,Soltero,Secundaria,tiempoindeterminado,confianza,diurno,NO,1A4A,1
10755,10755,Masculino,Casado,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,1
8602,8602,Masculino,Casado,Preparatoria,tiempoindeterminado,ninguno,diurno,NO,10A14A,1
11709,11709,Masculino,Soltero,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,1
2647,2647,Masculino,Casado,Preparatoria,tiempoindeterminado,confianza,diurno,NO,6M1A,1
10037,10037,Masculino,Soltero,Licenciatura,tiempodeterminado,sindicalizado,diurno,NO,15A19A,0
8816,8816,Masculino,Soltero,TecnicoSuperior,tiempodeterminado,confianza,diurno,NO,Menos6M,1
10159,10159,Masculino,UnionLibre,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,5A9A,1
10480,10480,Masculino,Casado,TecnicoSuperior,tiempoindeterminado,ninguno,diurno,SI,5A9A,0
9209,9209,Masculino,Casado,Preparatoria,tiempoindeterminado,sindicalizado,diurno,SI,5A9A,1
5999,5999,Femenino,Divorciado,SinFormacion,tiempoindeterminado,sindicalizado,diurno,NO,5A9A,1
9136,9136,Femenino,UnionLibre,Licenciatura,tiempodeterminado,ninguno,diurno,NO,6M1A,1
2712,2712,Masculino,Soltero,Preparatoria,tiempoindeterminado,confianza,diurno,NO,Menos6M,1
8678,8678,Masculino,Soltero,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,1
18763,18763,Femenino,Casado,Licenciatura,tiempoindeterminado,confianza,diurno,NO,20A24A,1
15953,15953,Femenino,Soltero,TecnicoSuperior,tiempoindeterminado,ninguno,diurno,NO,20A24A,0
10022,10022,Masculino,Soltero,Licenciatura,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,0
8673,8673,Masculino,Soltero,Preparatoria,tiempoindeterminado,ninguno,diurno,NO,6M1A,1
11665,11665,Masculino,Casado,Licenciatura,porObraoProyecto,confianza,diurno,SI,5A9A,0
12354,12354,Masculino,Soltero,Preparatoria,tiempoindeterminado,ninguno,diurno,SI,5A9A,1
3286,3286,Masculino,Casado,Licenciatura,tiempodeterminado,ninguno,diurno,NO,5A9A,1
11412,11412,Masculino,Casado,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,1
1640,1640,Femenino,Soltero,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,1
11902,11902,Femenino,Soltero,Preparatoria,tiempoindeterminado,confianza,diurno,NO,5A9A,1
1815,1815,Femenino,Soltero,Licenciatura,tiempodeterminado,confianza,diurno,NO,1A4A,1
6914,6914,Masculino,UnionLibre,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,Menos6M,1
3295,3295,Femenino,Casado,Bachillerato,tiempoindeterminado,ninguno,mixto,NO,1A4A,1
9492,9492,Masculino,Soltero,Bachillerato,tiempoindeterminado,sindicalizado,diurno,NO,Menos6M,1
18968,18968,Masculino,Casado,Preparatoria,tiempoindeterminado,sindicalizado,mixto,SI,1A4A,1
20710,20710,Masculino,Casado,Maestria,tiempoindeterminado,confianza,diurno,NO,10A14A,0
14988,14988,Masculino,Soltero,Secundaria,tiempoindeterminado,ninguno,diurno,NO,6M1A,0
18264,18264,Femenino,Soltero,Licenciatura,tiempoindeterminado,confianza,diurno,NO,10A14A,1
1328,1328,Masculino,Soltero,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,1
6052,6052,Masculino,Soltero,Secundaria,tiempoindeterminado,ninguno,diurno,NO,6M1A,0
13546,13546,Masculino,Soltero,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,6M1A,1
7998,7998,Femenino,Casado,Secundaria,tiempoindeterminado,sindicalizado,diurno,SI,Menos6M,1
7324,7324,Masculino,UnionLibre,Preparatoria,tiempoindeterminado,sindicalizado,mixto,SI,1A4A,1
14544,14544,Masculino,UnionLibre,Preparatoria,tiempoindeterminado,ninguno,diurno,SI,1A4A,0
18406,18406,Masculino,Soltero,TecnicoSuperior,tiempoindeterminado,sindicalizado,mixto,SI,1A4A,1
8937,8937,Femenino,Soltero,Preparatoria,tiempoindeterminado,sindicalizado,nocturno,NO,6M1A,1
10256,10256,Masculino,Soltero,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,5A9A,1
8936,8936,Masculino,Casado,Bachillerato,tiempodeterminado,ninguno,nocturno,NO,Menos6M,0
18138,18138,Masculino,UnionLibre,Bachillerato,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,1
10769,10769,Masculino,UnionLibre,Secundaria,otro,sindicalizado,diurno,NO,1A4A,0
16539,16539,Masculino,Soltero,Maestria,tiempoindeterminado,confianza,diurno,NO,1A4A,1
15010,15010,Femenino,Soltero,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,1
6925,6925,Masculino,Divorciado,Bachillerato,tiempoindeterminado,ninguno,diurno,NO,5A9A,1
3230,3230,Masculino,Soltero,Licenciatura,honorarios,confianza,mixto,NO,10A14A,1
11762,11762,Masculino,Divorciado,TecnicoSuperior,tiempoindeterminado,confianza,diurno,NO,5A9A,1
10533,10533,Femenino,Soltero,TecnicoSuperior,tiempoindeterminado,ninguno,diurno,NO,5A9A,1
3248,3248,Femenino,Soltero,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,1
19598,19598,Femenino,Casado,Licenciatura,tiempoindeterminado,confianza,diurno,NO,Mas25A,1
2864,2864,Masculino,Soltero,Bachillerato,tiempoindeterminado,confianza,diurno,NO,1A4A,1
19831,19831,Masculino,UnionLibre,Secundaria,otro,ninguno,diurno,SI,1A4A,1
15832,15832,Masculino,UnionLibre,Bachillerato,tiempodeterminado,ninguno,mixto,SI,5A9A,1
16709,16709,Masculino,Casado,Maestria,tiempoindeterminado,confianza,diurno,NO,1A4A,1
7534,7534,Femenino,Casado,Secundaria,tiempoindeterminado,sindicalizado,mixto,SI,5A9A,1
8537,8537,Masculino,Casado,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,10A14A,1
10953,10953,Masculino,UnionLibre,Primaria,tiempoindeterminado,ninguno,diurno,NO,10A14A,1
17952,17952,Masculino,Casado,Licenciatura,tiempoindeterminado,confianza,diurno,NO,15A19A,1
6483,6483,Masculino,Soltero,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,1
2859,2859,Masculino,Soltero,Licenciatura,tiempoindeterminado,ninguno,diurno,SI,1A4A,1
16927,16927,Masculino,Casado,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,1
6868,6868,Masculino,Soltero,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,1
2683,2683,Femenino,UnionLibre,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,1
474,474,Masculino,Soltero,Bachillerato,tiempoindeterminado,sindicalizado,mixto,SI,10A14A,1
7609,7609,Masculino,Soltero,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,1
2325,2325,Femenino,Soltero,Licenciatura,tiempoindeterminado,sindicalizado,diurno,NO,6M1A,1
13080,13080,Masculino,UnionLibre,Licenciatura,tiempoindeterminado,ninguno,diurno,SI,1A4A,1
13592,13592,Femenino,Casado,Secundaria,tiempodeterminado,ninguno,nocturno,NO,Menos6M,1
1870,1870,Femenino,Soltero,Preparatoria,tiempoindeterminado,confianza,diurno,NO,1A4A,0
16490,16490,Masculino,Casado,Licenciatura,tiempoindeterminado,confianza,diurno,NO,6M1A,0
14459,14459,Masculino,Casado,Maestria,tiempoindeterminado,ninguno,diurno,NO,5A9A,1
14657,14657,Masculino,UnionLibre,TecnicoSuperior,tiempoindeterminado,ninguno,diurno,NO,1A4A,0
9987,9987,Masculino,Casado,Preparatoria,tiempoindeterminado,confianza,diurno,NO,1A4A,1
385,385,Femenino,Soltero,Licenciatura,porObraoProyecto,confianza,diurno,NO,1A4A,1
7703,7703,Masculino,Casado,Preparatoria,tiempoindeterminado,sindicalizado,diurno,NO,5A9A,1
14942,14942,Masculino,Casado,Secundaria,tiempoindeterminado,confianza,mixto,SI,10A14A,1
11199,11199,Masculino,UnionLibre,Preparatoria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,1
17849,17849,Femenino,UnionLibre,Preparatoria,tiempoindeterminado,sindicalizado,mixto,SI,6M1A,1
16975,16975,Femenino,Soltero,Licenciatura,tiempodeterminado,confianza,diurno,NO,Menos6M,1
7685,7685,Masculino,Casado,TecnicoSuperior,tiempoindeterminado,confianza,diurno,NO,5A9A,0
4191,4191,Femenino,UnionLibre,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,1
16117,16117,Masculino,Soltero,Licenciatura,tiempoindeterminado,ninguno,mixto,NO,1A4A,0
2929,2929,Masculino,UnionLibre,TecnicoSuperior,tiempodeterminado,ninguno,mixto,SI,5A9A,1
3848,3848,Masculino,Soltero,Licenciatura,porObraoProyecto,ninguno,diurno,NO,6M1A,0
4438,4438,Masculino,Soltero,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,1
4667,4667,Masculino,UnionLibre,Licenciatura,porObraoProyecto,confianza,mixto,NO,1A4A,1
16217,16217,Femenino,UnionLibre,Secundaria,tiempoindeterminado,ninguno,diurno,NO,1A4A,1
8323,8323,Masculino,Casado,SinFormacion,tiempoindeterminado,sindicalizado,nocturno,SI,5A9A,1
11092,11092,Masculino,Soltero,Licenciatura,tiempoindeterminado,confianza,diurno,SI,Menos6M,1
19303,19303,Masculino,UnionLibre,Bachillerato,tiempoindeterminado,sindicalizado,mixto,SI,1A4A,1
9188,9188,Masculino,Casado,Bachillerato,tiempoindeterminado,sindicalizado,mixto,SI,5A9A,1
1635,1635,Masculino,Casado,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,1
19083,19083,Masculino,Casado,Bachillerato,tiempoindeterminado,sindicalizado,mixto,SI,5A9A,1
10904,10904,Masculino,Casado,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,1
6097,6097,Masculino,Soltero,Preparatoria,tiempoindeterminado,ninguno,diurno,NO,Menos6M,0
8069,8069,Masculino,Soltero,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,1
6703,6703,Masculino,Casado,Bachillerato,tiempodeterminado,sindicalizado,mixto,SI,Menos6M,1
8132,8132,Masculino,Casado,SinFormacion,tiempoindeterminado,sindicalizado,diurno,SI,5A9A,1
16628,16628,Masculino,Soltero,Licenciatura,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,1
5284,5284,Masculino,Casado,Secundaria,tiempoindeterminado,sindicalizado,mixto,SI,5A9A,1
12257,12257,Masculino,Casado,Primaria,tiempoindeterminado,sindicalizado,diurno,NO,15A19A,1
5198,5198,Masculino,Casado,Licenciatura,tiempoindeterminado,confianza,mixto,SI,1A4A,1
6202,6202,Masculino,Divorciado,Secundaria,tiempoindeterminado,ninguno,diurno,SI,10A14A,1
12181,12181,Masculino,Soltero,Secundaria,tiempoindeterminado,confianza,diurno,NO,20A24A,0
20957,20957,Masculino,Soltero,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,0
8342,8342,Masculino,UnionLibre,Secundaria,tiempoindeterminado,sindicalizado,mixto,SI,6M1A,1
6433,6433,Femenino,Soltero,Licenciatura,tiempoindeterminado,sindicalizado,diurno,NO,5A9A,1
11799,11799,Masculino,Casado,Secundaria,tiempoindeterminado,confianza,mixto,SI,6M1A,0
2177,2177,Masculino,Soltero,Bachillerato,otro,sindicalizado,diurno,NO,6M1A,0
12687,12687,Masculino,Soltero,Preparatoria,tiempoindeterminado,sindicalizado,diurno,SI,1A4A,1
15054,15054,Masculino,Casado,Primaria,tiempoindeterminado,confianza,diurno,NO,1A4A,0
