,Id_respuesta,Id_empleado_nom35,Id_res_nom35,respuesta,date,Indice
1047,1048,27,1,2,2019-07-08,40
1048,1049,27,2,2,2019-07-08,41
1049,1050,27,3,2,2019-07-08,42
1050,1051,27,4,2,2019-07-08,43
1051,1052,27,5,2,2019-07-08,44
1052,1053,27,6,2,2019-07-08,45
1053,1054,27,7,2,2019-07-08,46
1054,1055,27,8,2,2019-07-08,47
1055,1056,27,9,2,2019-07-08,48
1056,1057,27,10,2,2019-07-08,49
1057,1058,27,11,2,2019-07-08,50
1058,1059,27,12,2,2019-07-08,51
1059,1060,27,13,2,2019-07-08,52
1060,1061,27,14,2,2019-07-08,53
1061,1062,27,15,2,2019-07-08,54
1062,1063,27,16,2,2019-07-08,55
1063,1064,27,17,2,2019-07-08,56
1064,1065,27,18,2,2019-07-08,57
1065,1066,27,19,2,2019-07-08,58
1066,1067,27,20,2,2019-07-08,59
1067,1068,27,21,2,2019-07-08,60
1068,1069,27,22,2,2019-07-08,61
1069,1070,27,23,2,2019-07-08,62
1070,1071,27,24,2,2019-07-08,63
1071,1072,27,25,2,2019-07-08,64
1072,1073,27,26,2,2019-07-08,65
1073,1074,27,27,2,2019-07-08,66
1074,1075,27,28,2,2019-07-08,67
1075,1076,27,29,2,2019-07-08,68
1076,1077,27,30,2,2019-07-08,69
1077,1078,27,31,2,2019-07-08,70
1078,1079,27,32,2,2019-07-08,71
1079,1080,27,33,2,2019-07-08,72
1080,1081,27,34,2,2019-07-08,73
1081,1082,27,35,2,2019-07-08,74
1082,1083,27,36,2,2019-07-08,75
1083,1084,27,37,2,2019-07-08,76
1084,1085,27,38,2,2019-07-08,77
1085,1086,27,39,2,2019-07-08,78
1086,1087,27,40,2,2019-07-08,79
1087,1088,27,41,2,2019-07-08,80
1088,1089,27,42,2,2019-07-08,81
1089,1090,27,43,2,2019-07-08,82
1090,1091,27,44,2,2019-07-08,83
1091,1092,27,45,2,2019-07-08,84
1092,1093,27,46,2,2019-07-08,85
1093,1094,29,1,1,2019-07-09,86
